pageviews,page,bounce_rate
979073,/home,31.00534893720897
208639,/basket.html,2.0547452777285167
144292,/google+redesign/shop+by+brand/youtube,31.529814542732794
100966,/signin.html,5.8336469702672185
93338,/store.html,2.5423728813559325
67471,/google+redesign/apparel/men++s/men++s+t+shirts,13.539150153399238
62164,/asearch.html,3.1674280934302814
56663,/google+redesign/electronics,4.701480684044261
56407,/google+redesign/apparel,5.017107805768788
53526,/google+redesign/bags,7.246945409707433
51616,/google+redesign/drinkware,9.121202727836328
49481,/google+redesign/office,2.6070612962551283
42949,/google+redesign/shop+by+brand/google,3.057114251787003
37977,/google+redesign/apparel/mens/mens+t+shirts,15.733206941043262
37872,/google+redesign/apparel/men++s/men++s+outerwear,7.261301225179552
37360,/yourinfo.html,0.01873661670235546
35660,/payment.html,0.008412787436904094
32242,/google+redesign/accessories/fun,1.3057502636312885
30244,/google+redesign/accessories,3.074990080677159
25849,/google+redesign/drinkware/mugs+and+cups,1.9923401292119618
